"","CF","CM","CA","QL","CL","WS","QS","QW","PM","QF","OR","WM","SX","R","BC","NC","OG"
"H.ligatus",0,1.30102999566398,0.602059991327962,1,0.2,6.1,1.14,2,50,0,1,51,0.65,0.42,2,1,1
"L.baleicum",0,0.845098040014257,0.301029995663981,1,0.12,1,1.05,2,0,0,1,57,0.8,0.7,2,1,1
"L.zephyrum",0,1.65321251377534,1.14612803567824,1,0.29,0.5,1.06,2,15,0,1,8,0.73,0.7,2,1,1
"L.villosulum",0,0,0,0.75,0,3.65,1.07,0,100,0,1,100,0.66,0.636207894635139,1,0,0.5
"L.marginatum",0,2.68663626926229,2.44715803134222,6,6,3.38759518047915,1,2,26.0318690414439,0.902620758714296,1,0,0.3,0.742225438507302,2,2,1
"A.amphitrite",0,0.477121254719662,0.301029995663981,1,0.25,6.81,1.09,2,25,0,1,0,0.56,0.72112562912411,1,0,1
"A.phoemonoe",0,0.602059991327962,0.477121254719662,1,0.25,2.75,1.11,2,0,0,1,0,0.47,0.692593697797655,1,0,1
"A.striata",0,1.39794000867204,0.845098040014257,1,0.23,3.2,1.03,2,12,0,1,42,0.48,0.78,1,0,1
"M.genalis",0,1.04139268515823,0.477121254719662,0.65,0.11,9.11,1.08,2,3,0,1,75,0.46,0.75,2,1,1
"D.novaeangliae",0,0,0,0.08,0,3.59016354214923,1,0,100,0,1,100,0.491256784931474,0.63191633606411,1,0,0
"E.meriana",0,0.301029995663981,0.301029995663981,0.33,0.05,2.23,1,0,100,0,1,100,0.484534810458895,0.623485873463497,1,0,0
"E.nigrita",0,0.778151250383644,0.602059991327962,0.21,0.11,4.53,1,0,100,0,1,100,0.441955990002093,0.75,1,0,0
"E.atroveneta",0,1,0.778151250383644,0.58,0.33,3.67802047889543,1,0,31.3728893218164,0,1,100,0.603586423033249,0.62,1.52947817131415,0,1
"E.townsendi",0,0.778151250383644,0.301029995663981,0.49,0.18,4.23437219155828,1,0,0,0,1,100,0.6,0.503968363653029,3,0,1
"E.viridissima",0,0.602059991327962,0.301029995663981,0.5,0.1,2.05,1,0,30,0,1,100,0.6,0.52,3,0,1
"E.melanotricha",0,0.477121254719662,0.301029995663981,0.22,0.1,4.96496444058253,1,1,30,0,1,100,0.64,0.66,3,0,1
"E.cordata",0,0.778151250383644,0.301029995663981,0.52,0.08,4.47,1.01,1,0,0,1,100,0.54,0.56,3,0,1
"E.dodsoni",0,0,0,0.320415710110788,0,3.48956909914947,1,0,100,0,1,100,0.53,0.63002627661777,1,0,0
"E.hyacinthina",0,0.698970004336019,0.602059991327962,0.46,0.2,2.28,1,0,100,0,1,100,0.69,0.616251202703473,1,1,1
"A.cerana",3.7481880270062,4.60205999132796,3.83884909073726,2.6744065960798,6.99176166341651,1.77,1.08,4,0,2.98227123303957,0.112,0,0.002,0.35,6,1,1
"A.mellifera",3.38021124171161,4.90308998699194,4.17609125905568,2,5.6,1.8,0.99,4,0.01,3.17609125905568,0.024,0,0.002,0.29,6,2,1
"A.dorsata",3.60205999132796,4.90308998699194,4.56348108539441,2.88826237825381,8.10105526661024,1.91,1.02,4,0,2.9731278535997,0.188,0,0.003,0.29,6,1,1
"A.florea",3.30102999566398,4.47712125471966,3.79934054945358,1.98064423685729,1,1.15,1.23,4,0,2.54406804435028,0.023,0,0.018,0.29,6,1,1
"A.nebulata",2.29003461136252,3.30102999566398,3.23044892137827,2.86991827008525,5.5,4.26887264114352,1.32603765143916,4,6.97124148429383,1.98697728068692,0.667108657863662,0,0.001,0.795402947624325,3,5,1
"A.australis",3,3.69897000433602,3.47712125471966,3.96965377139284,13.3703528411042,2.81,1.1,4,7,1.5910646070265,0.775897601713874,0,0.206082693338789,0.78,3,5,1
"H.gribodoi",2,2.8750612633917,2.65321251377534,4,5.5,3.53118867140267,1.16904970148157,4,10.7895422011682,1.69897000433602,0.787262461184837,0,0.237205341883957,0.733320026590656,3,4,1
"T.carbonaria",3.39794000867204,4.04139268515823,3.82930377283102,3.24368979628954,8.93089007144593,1.1823469199488,1.27757196317325,4,0,2.47712125471966,0,0,0.01,0.75,3,5,1
"M.scutellaris",2.21164644736097,3.30102999566398,3.17609125905568,4.39171619538472,15,1.78,0.9,4,23,1.32837960343874,1,0,0.361823828290755,0.77,3,5,1
"M.flavolineata",2.31027472594122,3.51851393987789,3.17609125905568,4.56981130244724,16.9927924910711,2.02,0.87,4,32.1194765231369,1.43382342977869,1,0,0.360583806426447,0.75,3,5,1
"M.fasciata",2.30102999566398,3.39794000867204,3,4.0759402231377,10,1.5,0.9,4,1,1.28964061403432,1,0,0.498,0.688628594949808,3,5,1
"M.fuliginosa",2.39794000867204,2.77815125038364,2.58319877396862,4.35354325862157,15.9785461030909,1.61180766490587,0.9,4,30.6584390646747,1.3166219229786,1,0,0.391122141695455,0.71150626442798,3,5,1
"M.bicolor",2.17609125905568,2.90308998699194,2.62838893005031,7,20.4505479024802,0.146197857971399,0.84,4,54,1.47712125471966,1,0,0.5,0.64,3,5,1
"M.marginata",2.20411998265592,3.39794000867204,3.12385164096709,4.83453469590534,18.3548000447098,0.758430255796123,0.81,4,37.1,1.44715803134222,1,0,0.601,0.7,3,5,1
"M.beecheii",2.47712125471966,3.47712125471966,2.90308998699194,3,15,1.92,0.85,4,0,1.25527250510331,1,0,0.366,0.68,3,5,1
"M.favosa",1.77815125038364,2.84509804001426,2.60205999132796,3,16.5147197959096,1.81018638247208,0.75,4,94.5,1.00432137378264,1,0,0.261,0.678161578240566,3,5,1
"M.fasciculata",2.47712125471966,3.47712125471966,2.77815125038364,4.57089592125441,16.4659166492704,1.13,0.85,4,0,1.39722939973138,1,0,0.391813362448926,0.75,3,5,1
"M.quadrifasciata",2.47712125471966,3.17609125905568,2.95424250943932,3,15.4273085285722,4.13,0.91,4,64,1.38021124171161,1,0,0.472,0.83,3,5,1
"P.droryana",2.30102999566398,4,3.69897000433602,3.87509948091181,10,2.21,0.97,4,15.2,1.90308998699194,0.708130130111307,0,0.223350099881619,0.679331220265378,3,5,1
"P.remota",2.90308998699194,3.69897000433602,3.46239799789896,4,8.15,2.99659557717799,1.25954606137796,4,3,2.34242268082221,0.66,0,0.004,0.79,3,5,1
"F.schrottkyi",2.47712125471966,3.39794000867204,3.14612803567824,3.57662653822241,11.3920308058907,2.39,1.12551834204776,4,0,1.72427586960079,0.724403107716982,0,0.217235616211613,0.716141792435635,3,4.5,1
"L.limao",2.30102999566398,3.84509804001426,3.65321251377534,3.11312108780227,10,1.44,1.38,4,0,2.82607480270083,0.32,0,0.01,0.65,3,5,1
"F.varia",2.98587687236355,3.20411998265592,3.07918124604762,2.4345566793758,5.45676862286914,1.56,1.1,4,0,2.33468987588777,0,0,0.074313626468076,0.476296232921766,3,2,1
"T.angustula",2.69897000433602,3.90308998699194,3.69897000433602,3.5,8.15,3.2,1.85,4,0,2.18752072083646,1,0,0.012,0.75,3,5,1
"S.quadripunctata",2.69897000433602,3.39794000867204,3.17609125905568,3.55750168847626,11.1250189937415,2.55382105945439,1.17,4,0,2.0498290617061,0.62,0,0.032,0.79,3,5,1
"N.testaceicornis",2.30102999566398,3.47712125471966,3.39794000867204,3.21854747903786,10,1.6,1.11,4,8.2401240836351,1.20411998265592,0.44,0,0.006,0.651078623028509,3,4,1
"C.capitata",1.95004896724238,3,2.84509804001426,4.18933049054786,23,4.26724550382749,1.3,4,33.6461742037862,1.48245124854766,1,0,0.251729066418217,0.75,3,5,1
"T.spinipes",3.69897000433602,4.72427586960079,4.5910646070265,3.55660290278689,10,2.7,1.29,4,1.7835910637882,2.718098636027,0.33,0,0.01,0.75,3,5,1
"T.fulviventris",3.30102999566398,4,3.75966784468963,4.32204858044039,23,1.61440366571806,1.31,4,20.5185597760688,2.31416363150825,0.634386192211378,0,0.0866708234160108,0.68,3,5,1
"G.mombuca",2.67990797292239,3.47712125471966,3.39794000867204,3.87844002689328,12.7368391153581,1.42,1.09269301124559,4,0,1.90898356035784,0.683603989758499,0,0.203301504271111,0.705484880993726,3,5,1
"S.pectoralis",3.14612803567824,3.7160033436348,3.55630250076729,4.44036607242659,23,1.36711639446507,1.14,4,25.6892226423789,2.00325256672686,0.739973574107139,0,0.190684606948973,0.71,3,4,1
"S.postica",3.30102999566398,4.69897000433602,4.17609125905568,4.19601904499219,14.4902704134499,2.24,1.25,4,14.7,2.73479982958885,1,0,0.107913495448046,0.7,3,5,1
"B.atratus",1.69897000433602,3.20547503674089,2.68124123737559,1,5,7.7,1.297,3,90,1.20411998265592,1,1,0.3,0.820572946044927,2,1.5,1
"B.fervidus",0,2.47712125471966,2.39794000867204,1,0.3,7.53232793747839,1.173,3,18.889666789004,0.903089986991944,1,0,0.351153496652219,0.628932026288304,5,1.5,1
"B.muscorum",0,1.9686125790571,1.69897000433602,1,0.1,11.05,1.49108252168347,3,4.86745094269661,0.695461427537359,1,0,0.27807766219254,0.889831413669142,2,1,1
"B.pascuorum",0,2.25527250510331,1.77815125038364,1,0.42,9.1,1.2924029762535,3,4.21955042219511,0.954242509439325,1,0,0.61,0.75,2,1,1
"B.morio",0,2.72015930340596,2.47712125471966,1,0.38,9.73,1.3,3,7.58183593849045,0.774045426495838,1,0,0.34,0.75,2,1.5,1
"B.hortorum",0,2.10720996964787,2,1,0.17,9.1,1.174,3,10.6481307865574,1.30102999566398,1,0,0.351839823733915,0.75,2,1.5,1
"B.impatiens",0,2.87852179550121,2.65321251377534,1,0.19,9.96,1.5,3,0,1,1,0,0.38,0.67,5,1,1
"B.melanopygus",0,2.12385164096709,1.69897000433602,1,0.33,9.27780150529174,1.36,3,19.1,0.957708372214123,1,0,0.12,0.75,5,1,1
"B.pratorum",0,2.11394335230684,2,1,0.21,7.2,1.221,3,15.7420074071861,0.845098040014257,1,0,0.343944240666115,0.75,5,1,1
"B.hypnorum",0,2.17609125905568,1.69897000433602,1,0.22,5.51,1.44,3,15.4,0.301029995663981,1,0,0.34,0.69,5,1,1
"B.terrestris",0,2.60205999132796,2.30102999566398,1,0.33,11.3,1.76,3,3.4,1.23044892137827,1,0,0.23,0.75,5,1.5,1
"B.occidentalis",0,2.31353293841243,1.92941892571429,1,0.568538708900103,9.03595271483272,1.38,3,13.471931427392,0.903089986991944,1,0,0.291910724689985,0.691803263884399,5,1,1
"B.lucorum",0,2.60205999132796,2.11394335230684,1,0.25,7.05,1.11,3,17.7682321411722,0.477121254719662,1,0,0.37,0.75,5,1.5,1
"B.hypocrita",0,2.41497334797082,1.65321251377534,1,0.31,9.75,1.35,3,21,0.602059991327962,1,0,0.185,0.75,5,2,1
"B.ignitus",0,2.38021124171161,2.02938377768521,1,0.35,11.64,1.21,3,4.1,0.698970004336019,1,0,0.1,0.75,5,1.5,1
"B.polaris",0,1.32221929473392,1.20411998265592,1,0.16,8.05571489167348,1.24,3,0,1.17609125905568,1,0,0.35,0.625196635009223,5,1,1
"B.lapidarius",0,2.60205999132796,2.47712125471966,1,0.3,7.9,1.45,3,12.0720951426091,1.06842525712035,1,0,0.233906764099422,0.75,5,2,1
"C.calcarata",0,0,0,1,0,9.23,1,1,100,0,1,100,0.44,0.48,1,0,1
"C.cyanea",0,0,0,1,0,2.85214538512128,1,0,100,0,1,100,0.38,0.45,1,0,0
"C.australensis",0,0.301029995663981,0.301029995663981,1,0.1,4.8,1.02,2,0,0,1,100,0.59,0.79,1,0,1
"E.robusta",0,0.778151250383644,0.301029995663981,1,0.5,5.13554460346923,1,2,29,0,1,100,0.83,0.39,5,0,1
"B.vitrea",0,0.477121254719662,0.301029995663981,1.11081431376491,0.991968438913415,5.52,1.02,2,0,0,1,0,0.7,0.528603471631626,4,0,1
"E.lawsoni",0,0,0,1,0,4.91370630251567,1,0,100,0,1,100,0.58,0.487232845587763,4,0,0.5
"E.tridentata",0,1.56820172406699,1,4.5,15,4.98,1.18,4,30.379549173621,0,1,8,0.36,0.705,5,0,1
"X.violacea",0,0,0,0.41,0,3.40487713446667,1,0,100,0,1,100,0.59,0.625878684869187,1,0,0
"X.virginica",0,0.698970004336019,0.301029995663981,2,8,3.16,1.02,2,0,0,1,0,0.63,0.15,2,0,1
"X.pubescens",0,0.301029995663981,0.301029995663981,1,0.16,2.99136322347892,1,2,0,0,1,100,0.5,0.48,1,0,1
"H.laboriosa",0,0,0,0.08,0,2.46,1,0,100,0,1,100,0.48179226297125,0.75,1,0,0
"M.rotundata",0,0,0,0.16,0,2.4,1,0,100,0.301029995663981,1,100,0.35,0.65,1,0,0
